outcome,month,MMWR week,Age group,Vaccine product,Vaccinated with outcome,Fully vaccinated population,Unvaccinated with outcome,Unvaccinated population,Crude vax IR,Crude unvax IR,Crude IRR,Age adjusted vax IR,Age adjusted unvax IR,Age adjusted IRR,Continuity correction
case,APR 2021,202114,12-17,all_types,7,37326,29786,17258432,18.75368376,172.5881007,9.202890638,,,,0
case,APR 2021,202114,18-29,all_types,606,2553753,73090,30530557,23.72978123,239.3994974,10.0885674,,,,0
case,APR 2021,202114,30-49,all_types,1683,7434147,94060,40269211,22.63877752,233.5779561,10.31760465,,,,0
case,APR 2021,202114,50-64,all_types,1416,7460354,48508,22599049,18.98033257,214.6462004,11.30887457,,,,0
case,APR 2021,202114,65-79,all_types,1533,14387054,14119,7535623,10.65541285,187.3634071,17.58387121,,,,0
case,APR 2021,202114,80+,all_types,715,4918990,3445,2504670,14.53550424,137.5430695,9.462559212,,,,0
case,APR 2021,202114,all_ages_adj,all_types,5960,36791624,263008,120697542,16.19933928,217.9066745,13.45157791,20.11164685,215.8855225,10.73435329,0
case,APR 2021,202114,all_ages_adj,Janssen,1032,2294803,263008,120697542,44.97118053,217.9066745,4.845473744,40.35673113,215.8855225,5.349430355,0
case,APR 2021,202114,all_ages_adj,Moderna,1635,16089106,263008,120697542,10.16215569,217.9066745,21.4429577,23.43177692,215.8855225,9.213365392,0
case,APR 2021,202114,all_ages_adj,Pfizer,3286,18362191,263008,120697542,17.89546792,217.9066745,12.17664022,20.73161021,215.8855225,10.41335045,0
case,APR 2021,202115,12-17,all_types,4,56291,29313,16993919,7.105931676,172.4911129,24.27424308,,,,0
case,APR 2021,202115,18-29,all_types,676,3191327,67071,28633714,21.18241095,234.2378638,11.05813046,,,,0
case,APR 2021,202115,30-49,all_types,1897,9123709,87583,37172748,20.79198273,235.6107759,11.33180895,,,,0
case,APR 2021,202115,50-64,all_types,1749,9588893,43621,20481125,18.23985313,212.9814646,11.67670941,,,,0
case,APR 2021,202115,65-79,all_types,1818,16427996,13482,6898116,11.06647457,195.4446692,17.66096944,,,,0
case,APR 2021,202115,80+,all_types,831,5351199,3171,2365011,15.52922999,134.0797146,8.634022081,,,,0
case,APR 2021,202115,all_ages_adj,all_types,6975,43739415,244241,112544633,15.94671534,217.0170123,13.60888482,17.68011922,216.0947731,12.22247262,0
case,APR 2021,202115,all_ages_adj,Janssen,1284,2988075,244241,112544633,42.97080897,217.0170123,5.050335739,45.79010959,216.0947731,4.719245597,0
case,APR 2021,202115,all_ages_adj,Moderna,1896,18818795,244241,112544633,10.07503403,217.0170123,21.54007735,11.37256689,216.0947731,19.00140709,0
case,APR 2021,202115,all_ages_adj,Pfizer,3783,21883255,244241,112544633,17.28719059,217.0170123,12.55363103,18.0999633,216.0947731,11.93896195,0
case,APR 2021,202116,12-17,all_types,6,89641,25188,16718450,6.693365759,150.6598997,22.50884011,,,,0
case,APR 2021,202116,18-29,all_types,785,4159519,52014,27118889,18.87237443,191.7998927,10.16299743,,,,0
case,APR 2021,202116,30-49,all_types,2193,11407806,71222,34769772,19.22367894,204.8388468,10.65554868,,,,0
case,APR 2021,202116,50-64,all_types,1966,12438014,35106,18979098,15.80638195,184.9719096,11.70235606,,,,0
case,APR 2021,202116,65-79,all_types,1827,17991023,11514,6424265,10.15506456,179.2267287,17.64899944,,,,0
case,APR 2021,202116,80+,all_types,790,5692867,2827,2258655,13.87701487,125.1629842,9.01944585,,,,0
case,APR 2021,202116,all_ages_adj,all_types,7567,51778870,197871,106269129,14.61406941,186.1980068,12.74101016,16.00215438,187.0104577,11.68658003,0
case,APR 2021,202116,all_ages_adj,Janssen,1738,4601030,197871,106269129,37.77415057,186.1980068,4.929244045,33.83612914,187.0104577,5.526945973,0
case,APR 2021,202116,all_ages_adj,Moderna,2027,21588263,197871,106269129,9.389361247,186.1980068,19.83074267,13.87456842,187.0104577,13.47865044,0
case,APR 2021,202116,all_ages_adj,Pfizer,3786,25533643,197871,106269129,14.82749641,186.1980068,12.55761604,15.39693517,187.0104577,12.14595345,0
case,APR 2021,202117,12-17,all_types,22,147003,23615,16476877,14.96568097,143.3220628,9.576715089,,,,0
case,APR 2021,202117,18-29,all_types,865,5228149,46757,25923970,16.54505256,180.3620356,10.90126701,,,,0
case,APR 2021,202117,30-49,all_types,2473,13820650,62005,32891250,17.89351442,188.5151826,10.53539166,,,,0
case,APR 2021,202117,50-64,all_types,2104,15493442,28924,17737494,13.57993918,163.0670037,12.00793329,,,,0
case,APR 2021,202117,65-79,all_types,1836,19078878,9765,6041407,9.623207402,161.6345331,16.79632646,,,,0
case,APR 2021,202117,80+,all_types,893,5926764,2362,2173099.55,15.06724412,108.6926736,7.213839023,,,,1
case,APR 2021,202117,all_ages_adj,all_types,8193,59694886,173428,101244097.6,13.72479378,171.2968995,12.48083594,15.50503797,171.4054598,11.0548236,0
case,APR 2021,202117,all_ages_adj,Janssen,2021,5734271,173428,101244097.6,35.24423593,171.2968995,4.860281262,32.13861401,171.4054598,5.333318348,0
case,APR 2021,202117,all_ages_adj,Moderna,2167,24548243,173428,101244097.6,8.82751568,171.2968995,19.40488193,17.61736931,171.4054598,9.72934476,0
case,APR 2021,202117,all_ages_adj,Pfizer,3993,29353657,173428,101244097.6,13.60307508,171.2968995,12.59251298,14.43346692,171.4054598,11.87555704,0
case,MAY 2021,202118,12-17,all_types,10,247798,18555,16316339,4.035545081,113.7203634,28.1796786,,,,0
case,MAY 2021,202118,18-29,all_types,790,6287227,36957,25075497,12.5651579,147.3829213,11.72949218,,,,0
case,MAY 2021,202118,30-49,all_types,2085,16214968,50533,31531161,12.85848976,160.2636833,12.46364746,,,,0
case,MAY 2021,202118,50-64,all_types,1897,18379407,24074,16816420,10.32133409,143.1576994,13.87007709,,,,0
case,MAY 2021,202118,65-79,all_types,1570,19838657,8304,5736537,7.913842152,144.7563225,18.29153523,,,,0
case,MAY 2021,202118,80+,all_types,791,6086391,2048,2104265.55,12.99620744,97.32611932,7.488809313,,,,1
case,MAY 2021,202118,all_ages_adj,all_types,7143,67054448,140471,97580219.55,10.65253717,143.9543799,13.51362381,10.87650382,145.5675407,13.38367025,0
case,MAY 2021,202118,all_ages_adj,Janssen,1525,5756949,140471,97580219.55,26.48972572,143.9543799,5.434347696,24.28392055,145.5675407,5.994400303,0
case,MAY 2021,202118,all_ages_adj,Moderna,1859,27682559,140471,97580219.55,6.715419626,143.9543799,21.43639385,6.600025563,145.5675407,22.05560255,0
case,MAY 2021,202118,all_ages_adj,Pfizer,3746,33553440,140471,97580219.55,11.16428003,143.9543799,12.89419287,10.8162087,145.5675407,13.45827774,0
case,MAY 2021,202119,12-17,all_types,16,416713,14330,15910270,3.839573039,90.06761042,23.45771509,,,,0
case,MAY 2021,202119,18-29,all_types,699,7610428,29980,24370639,9.184765955,123.0168811,13.3935782,,,,0
case,MAY 2021,202119,30-49,all_types,1757,18846072,41441,30473606,9.322897631,135.9898136,14.58664666,,,,0
case,MAY 2021,202119,50-64,all_types,1693,20827780,20011,16123615,8.128566751,124.1098848,15.26836017,,,,0
case,MAY 2021,202119,65-79,all_types,1493,20430867,7270,5497294,7.307570452,132.2468836,18.09724374,,,,0
case,MAY 2021,202119,80+,all_types,678,6209646,1969,2048791.55,10.9184968,96.10543347,8.802075524,,,,1
case,MAY 2021,202119,all_ages_adj,all_types,6336,74341506,115001,94424215.55,8.522829763,121.7918511,14.29007202,8.348521717,124.5362678,14.91716402,0
case,MAY 2021,202119,all_ages_adj,Janssen,1187,5912208,115001,94424215.55,20.07710148,121.7918511,6.066206878,18.15505173,124.5362678,6.859593109,0
case,MAY 2021,202119,all_ages_adj,Moderna,1735,30528031,115001,94424215.55,5.683301357,121.7918511,21.42977179,5.338368448,124.5362678,23.32852612,0
case,MAY 2021,202119,all_ages_adj,Pfizer,3400,37837606,115001,94424215.55,8.985769343,121.7918511,13.55385905,8.403307941,124.5362678,14.81991005,0
case,MAY 2021,202120,12-17,all_types,24,688102,10382,14646970,3.487854998,70.88155434,20.32239138,,,,0
case,MAY 2021,202120,18-29,all_types,649,9268261,22252,23598344,7.002392358,94.29475221,13.46607665,,,,0
case,MAY 2021,202120,30-49,all_types,1789,21616387,31122,29326845,8.276128661,106.1212006,12.82256535,,,,0
case,MAY 2021,202120,50-64,all_types,1535,22752882,14957,15438367,6.746398105,96.88200831,14.36055311,,,,0
case,MAY 2021,202120,65-79,all_types,1305,20932062,5571,5272044.2,6.234455067,105.670586,16.94945025,,,,1
case,MAY 2021,202120,80+,all_types,624,6314415,1419,1999075.55,9.882150603,70.98281003,7.182931417,,,,1
case,MAY 2021,202120,all_ages_adj,all_types,5926,81572109,85703,90281645.75,7.264738,94.92848661,13.06702136,7.09108238,97.03747769,13.68443807,0
case,MAY 2021,202120,all_ages_adj,Janssen,1055,6278028,85703,90281645.75,16.80463993,94.92848661,5.648944995,15.24740421,97.03747769,6.364196576,0
case,MAY 2021,202120,all_ages_adj,Moderna,1697,32939864,85703,90281645.75,5.151812406,94.92848661,18.42623122,9.035309179,97.03747769,10.7398071,0
case,MAY 2021,202120,all_ages_adj,Pfizer,3167,42287696,85703,90281645.75,7.489176048,94.92848661,12.67542464,7.022457916,97.03747769,13.81816436,0
case,MAY 2021,202121,12-17,all_types,30,955215,6693,13921737,3.140654198,48.07589743,15.30760612,,,,0
case,MAY 2021,202121,18-29,all_types,594,10757792,16298,22949696,5.521579149,71.01619124,12.86157263,,,,0
case,MAY 2021,202121,30-49,all_types,1450,23930788,23316,28400369,6.059140217,82.09752486,13.54936871,,,,0
case,MAY 2021,202121,50-64,all_types,1328,24184799,11230,14901780,5.491052458,75.36012476,13.7241677,,,,0
case,MAY 2021,202121,65-79,all_types,1085,21333795,4357,5095028.2,5.08582744,85.51473768,16.8143215,,,,1
case,MAY 2021,202121,80+,all_types,530,6401617,1093,1959434.55,8.279158219,55.78139877,6.73756888,,,,1
case,MAY 2021,202121,all_ages_adj,all_types,5017,87564006,62987,87228044.75,5.729523156,72.20957455,12.6030688,5.529402584,74.52699584,13.47830886,0
case,MAY 2021,202121,all_ages_adj,Janssen,884,6637698,62987,87228044.75,13.31787014,72.20957455,5.422006205,12.06389669,74.52699584,6.177688498,0
case,MAY 2021,202121,all_ages_adj,Moderna,1375,35225316,62987,87228044.75,3.903442626,72.20957455,18.49894605,4.693451388,74.52699584,15.87893208,0
case,MAY 2021,202121,all_ages_adj,Pfizer,2751,45633213,62987,87228044.75,6.028503844,72.20957455,11.97802579,5.650948195,74.52699584,13.18840543,0
case,JUN 2021,202122,12-17,all_types,36,1211827,4943,13468707,2.970721068,36.69988515,12.35386437,,,,0
case,JUN 2021,202122,18-29,all_types,559,11930457,12856,22499740,4.685486901,57.13843804,12.19477063,,,,0
case,JUN 2021,202122,30-49,all_types,1430,25779705,18723,27741501,5.546999083,67.49094074,12.16710869,,,,0
case,JUN 2021,202122,50-64,all_types,1232,25324754,8849,14524879,4.864805399,60.92305485,12.52322546,,,,0
case,JUN 2021,202122,65-79,all_types,1000,21672338,3442,4972606.2,4.614176837,69.21923558,15.0014267,,,,1
case,JUN 2021,202122,80+,all_types,468,6477466,878,1932501.55,7.225047573,45.43334002,6.288310154,,,,1
case,JUN 2021,202122,all_ages_adj,all_types,4725,92396547,49691,85139934.75,5.113827468,58.363916,11.4129615,4.952220489,60.40920506,12.19840781,0
case,JUN 2021,202122,all_ages_adj,Janssen,790,7004713,49691,85139934.75,11.27812089,58.363916,5.174968116,12.41034279,60.40920506,4.867649999,0
case,JUN 2021,202122,all_ages_adj,Moderna,1364,37194622,49691,85139934.75,3.667196833,58.363916,15.91513046,3.372257549,60.40920506,17.9135799,0
case,JUN 2021,202122,all_ages_adj,Pfizer,2566,48128398,49691,85139934.75,5.331571601,58.363916,10.94685027,5.039743242,60.40920506,11.98656403,0
case,JUN 2021,202123,12-17,all_types,41,1417114,4199,13071020,2.893204075,32.12450138,11.1034343,,,,0
case,JUN 2021,202123,18-29,all_types,659,12760359,11893,22091940,5.164431502,53.83411326,10.42401535,,,,0
case,JUN 2021,202123,30-49,all_types,1463,27086690,16843,27143876,5.40117674,62.0508287,11.48839071,,,,0
case,JUN 2021,202123,50-64,all_types,1378,26155547,7965,14192212,5.268480908,56.12232963,10.65246902,,,,0
case,JUN 2021,202123,65-79,all_types,1029,21935729,3072,4862664.6,4.69097699,63.17523935,13.46739485,,,,1
case,JUN 2021,202123,80+,all_types,465,6537883,770,1906866.55,7.112394027,40.38038215,5.677466968,,,,1
case,JUN 2021,202123,all_ages_adj,all_types,5035,95893322,44742,83268579.15,5.250626316,53.73215258,10.23347489,5.060121008,55.53534875,10.9751029,0
case,JUN 2021,202123,all_ages_adj,Janssen,823,7343757,44742,83268579.15,11.20679783,53.73215258,4.794603544,12.26671965,55.53534875,4.527318659,0
